Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,..,49.4230003356934,51.1469993591309,60.9059982299805,67.7409973144531,61.0250015258789,63.2309989929199,65.4759979248047,67.5370025634766,69.4990005493164,71.4240036010742,73.4860000610352,65.6699981689453,65.640998840332,67.1360015869141,66.0830001831055,65.818000793457,64.0849990844727,64.2429962158203,59.8839988708496,58.7719993591309,58.2750015258789,56.298999786377,56.4939994812012,57.023998260498,57.882999420166,58.0439987182617
Afghanistan,AFG,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,..,20.3530006408691,22.1450004577637,24.1599998474121,28.4379997253418,30.5149993896484,26.7329998016357,27.7469997406006,28.6620006561279,29.4969997406006,30.3470001220703,31.2970008850098,32.0190010070801,26.6070003509521,25.9829998016357,26.1499996185303,25.2049999237061,24.6270008087158,23.4890003204346,23.2399997711182,21.4340000152588,20.8759994506836,20.238000869751,19.6849994659424,19.625,19.6340007781982,19.7749996185303
Afghanistan,AFG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,86.6750030517578,86.6520004272461,86.6110000610352,86.5530014038086,86.4800033569336,86.3960037231445,86.3899993896484,86.4059982299805,86.4369964599609,86.4769973754883,86.5220031738281,86.6360015869141,86.7600021362305,86.8850021362305,87.0019989013672,87.1019973754883,87.0009994506836,86.8929977416992,86.7789993286133,86.6600036621094,86.5449981689453,86.5319976806641,86.5410003662109,86.5739974975586,86.6330032348633,86.7149963378906,86.7170028686523
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,14.7849998474121,14.8509998321533,14.9090003967285,14.9169998168945,14.9119997024536,14.9659996032715,14.8039999008179,14.6619997024536,14.5740003585815,14.5319995880127,14.5089998245239,14.8159999847412,15.1770000457764,15.5329999923706,15.8470001220703,16.1110000610352,15.6549997329712,15.2209997177124,14.8769998550415,14.6940002441406,14.7089996337891,15.2580003738403,15.9919996261597,16.8589992523193,17.7859992980957,18.7169990539551,19.4190006256104
Afghanistan,AFG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.612060546875,..,..,..,..,..
Afghanistan,AFG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.4170989990234,..,..,..,..,..
Albania,ALB,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,..,32.0800018310547,48.6679992675781,57.2309989929199,56.0379981994629,55.0139999389648,51.8209991455078,40.0340003967285,52.2750015258789,53.3499984741211,49.6949996948242,49.6949996948242,47.1199989318848,47.306999206543,46.7430000305176,46.4080009460449,46.2449989318848,45.7919998168945,48.5909996032715,46.3479995727539,43.2929992675781,43.1870002746582,51.8819999694824,45.2719993591309,41.9739990234375,39.7980003356934,40.3009986877441
Albania,ALB,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,..,14.2559995651245,25.19700050354,33.3009986877441,32.9259986877441,31.3700008392334,21.6439990997314,13.7489995956421,21.2959995269775,22.0949993133545,18.6520004272461,18.625,16.5590000152588,16.4529991149902,16.0179996490479,15.4010000228882,15.0139999389648,14.503999710083,14.1040000915527,16.257999420166,13.2049999237061,22.0659999847412,25.867000579834,24.7199993133545,25.076000213623,22.2889995574951,22.5219993591309
Albania,ALB,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS,74.4160003662109,74.8479995727539,74.8270034790039,74.6309967041016,74.2799987792969,73.6800003051758,73.6589965820313,74.1259994506836,74.0630035400391,73.7890014648438,73.5999984741211,73.0599975585938,72.5960006713867,71.0339965820313,69.4570007324219,67.9020004272461,66.5100021362305,65.2190017700195,64.0100021362305,64.2919998168945,62.984001159668,64.411003112793,66.1169967651367,62.6459999084473,63.8819999694824,65.161003112793,65.0530014038086
Albania,ALB,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,53.5900001525879,55.7809982299805,56.0970001220703,55.2809982299805,54.5349998474121,53.5019989013672,52.9070014953613,53.5610008239746,52.9780006408691,52.1650009155273,51.7179985046387,51.0950012207031,50.6790008544922,49.7589988708496,48.8779983520508,48.0509986877441,47.3889999389648,46.8030014038086,46.2690010070801,44.9449996948242,45.693000793457,47.1040000915527,48.8059997558594,44.6500015258789,44.7890014648438,47.6759986877441,47.4389991760254
Albania,ALB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,98.2522735595703,..,..,..,..,..,..,94.6818084716797,..,..,95.6914825439453,96.1360702514648,..,..,..,..
Albania,ALB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,99.1876068115234,..,..,..,..,..,..,97.3061981201172,..,..,98.0081634521484,98.3526077270508,..,..,..,..
Algeria,DZA,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,..,7.67600011825562,6.03999996185303,5.80900001525879,6.49100017547607,6.43599987030029,6.01599979400635,7,4.68800020217896,5.19600009918213,8.05700016021729,6.39499998092651,7.375,7.26399993896484,13.6359996795654,3.30999994277954,3.43099999427795,3.21199989318848,3.48000001907349,2.0090000629425,2.25300002098084,2.18700003623962,3.6159999370575,2.95000004768372,2.61700010299683,1.86800003051758,1.64600002765656
