Country Name	Country Code	Series Name	Series Code	1990 [YR1990]	1991 [YR1991]	1992 [YR1992]	1993 [YR1993]	1994 [YR1994]	1995 [YR1995]	1996 [YR1996]	1997 [YR1997]	1998 [YR1998]	1999 [YR1999]	2000 [YR2000]	2001 [YR2001]	2002 [YR2002]	2003 [YR2003]	2004 [YR2004]	2005 [YR2005]	2006 [YR2006]	2007 [YR2007]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]
Afghanistan	AFG	Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)	SL.TLF.CACT.MA.ZS	86.6750030517578	86.6520004272461	86.6110000610352	86.5530014038086	86.4800033569336	86.3960037231445	86.3899993896484	86.4059982299805	86.4369964599609	86.4769973754883	86.5220031738281	86.6360015869141	86.7600021362305	86.8850021362305	87.0019989013672	87.1019973754883	87.0009994506836	86.8929977416992	86.7789993286133	86.6600036621094	86.5449981689453	86.5319976806641	86.5410003662109	86.5739974975586	86.6330032348633	86.7149963378906	86.7170028686523
Afghanistan	AFG	Labor force with basic education, male (% of male working-age population with basic education)	SL.TLF.BASC.MA.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Afghanistan	AFG	Life expectancy at birth, male (years)	SP.DYN.LE00.MA.IN	48.89	49.638	50.323	50.941	51.497	51.999	52.465	52.918	53.379	53.861	54.376	54.929	55.515	56.121	56.74	57.359	57.964	58.543	59.086	59.589	60.054	60.484	60.892	61.286	61.67	62.046	62.412
Afghanistan	AFG	Literacy rate, adult male (% of males ages 15 and above)	SE.ADT.LITR.MA.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	45.4170989990234	..	..	..	..	..
Afghanistan	AFG	Labor force with advanced education, male (% of male working-age population with advanced education)	SL.TLF.ADVN.MA.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..
Albania	ALB	Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)	SL.TLF.CACT.MA.ZS	74.4160003662109	74.8479995727539	74.8270034790039	74.6309967041016	74.2799987792969	73.6800003051758	73.6589965820313	74.1259994506836	74.0630035400391	73.7890014648438	73.5999984741211	73.0599975585938	72.5960006713867	71.0339965820313	69.4570007324219	67.9020004272461	66.5100021362305	65.2190017700195	64.0100021362305	64.2919998168945	62.984001159668	64.411003112793	66.1169967651367	62.6459999084473	63.8819999694824	65.161003112793	65.0530014038086
Albania	ALB	Labor force with basic education, male (% of male working-age population with basic education)	SL.TLF.BASC.MA.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	42.3283004760742	48.6352005004883	50.4645004272461	51.6170997619629	55.3595008850098	52.6262016296387	46.4828987121582	53.0800018310547	55.5800018310547	..
Albania	ALB	Life expectancy at birth, male (years)	SP.DYN.LE00.MA.IN	69.07	69.017	68.997	69.037	69.15	69.347	69.631	69.982	70.376	70.797	71.215	71.6	71.937	72.223	72.461	72.678	72.911	73.192	73.539	73.95	74.404	74.867	75.299	75.671	75.974	76.209	76.389
Albania	ALB	Literacy rate, adult male (% of males ages 15 and above)	SE.ADT.LITR.MA.ZS	..	..	..	..	..	..	..	..	..	..	..	99.1876068115234	..	..	..	..	..	..	97.3061981201172	..	..	98.0081634521484	98.3526077270508	..	..	..	..
Albania	ALB	Labor force with advanced education, male (% of male working-age population with advanced education)	SL.TLF.ADVN.MA.ZS	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	79.1877975463867	78.9040985107422	81.301399230957	77.9699020385742	74.5169982910156	73.0643005371094	73.4274978637695	74.0699996948242	73.1999969482422	..
